tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
0,76,True,"","","",3,"0;3","0"
0,77,True,"","","",1,"1;1","1;0;1;1"
0,78,False,"Ca Calcium",8.52,"79;82",7,"0;5;1;1;5;1","5;1;0;2;5;1;5;0;1;0;5;1"
0,79,False,"Mg Magnesium",3.50,"80;81",2,"1;1;5;1","2;1;5;1;0;5;1"
0,80,True,"","","",1,"5;1","2;1;5;1;0;5;1"
0,81,True,"","","",1,"1;1","0"
0,82,True,"","","",5,"0;5","3;1;0;2;5;0;1"
0,83,True,"","","",2,"5;2","0"
0,84,True,"","","",2,"3;2","0"
1,0,False,"Mg Magnesium",2.75,"1;22",183,"5;16;0;58;1;65;3;24;4;8;2;12","31;3;1;1;5;1;4;2;2;1;1;5;3;0;2;0;1;11;5;4;4;1;2;2;5;1;1;4;3;1;2;3;1"
1,1,False,"Na Sodium",14.14,"2;15",54,"4;8;3;23;0;11;2;12","9;3;4;2;2;1;4;3;1;0;4;1;2;2;1;0;1;2;3;1"
1,2,False,"Ca Calcium",12.87,"3;14",30,"0;11;4;3;2;12;3;4","5;1;0;1;0;2;2;3;2;1;2;3;1"
1,3,False,"Mg Magnesium",2.04,"4;9",23,"4;3;0;4;2;12;3;4","5;1;0;1;0;2;2;3;2;1;2;3;1"
1,4,False,"Al Aluminum",0.98,"5;6",16,"2;11;3;4;0;1","4;0;2;2;3;2;1;2;3;1"
1,5,True,"","","",1,"0;1","0"
1,6,False,"K Potassium",0.24,"7;8",15,"2;11;3;4","4;0;2;2;3;2;1;2;3;1"
1,7,True,"","","",4,"3;4","1;2;3;1"
1,8,True,"","","",11,"2;11","3;0;2;2;3;2;1"
1,9,False,"Si Silicon",70.94,"10;11",7,"4;3;0;3;2;1","1;1;0;1"
1,10,True,"","","",1,"2;1","0"
1,11,False,"Na Sodium",13.78,"12;13",6,"4;3;0;3","1;1;0;1"
1,12,True,"","","",3,"0;3","1;1;0;1"
1,13,True,"","","",3,"4;3","0"
1,14,True,"","","",7,"0;7","0"
1,15,False,"Mg Magnesium",0.39,"16;21",24,"4;5;3;19","4;3;4;2;4;3;1;0;4;1"
1,16,False,"Na Sodium",14.66,"17;20",21,"3;19;4;2","2;4;3;1;0;4;1"
1,17,False,"Ba Barium",0.20,"18;19",10,"3;8;4;2","1;0;4;1"
1,18,True,"","","",2,"4;2","1;0;4;1"
1,19,True,"","","",8,"3;8","0"
1,20,True,"","","",11,"3;11","1;4;3;1"
1,21,True,"","","",3,"4;3","2;3;4;2"
1,22,False,"Refractive Index",1.52,"23;48",129,"5;16;0;47;1;65;3;1","22;3;1;1;5;1;1;5;3;0;1;0;1;11;5;4;5;1;1"
1,23,False,"Si Silicon",73.27,"24;45",46,"0;33;1;4;3;1;5;8","8;0;1;3;5;3;1;5;2"
1,24,False,"Al Aluminum",1.39,"25;30",43,"3;1;1;3;0;31;5;8","8;0;1;3;5;3;1;5;2"
1,25,False,"Al Aluminum",1.28,"26;29",10,"5;7;0;3","3;1;5;2;0;5;1"
1,26,False,"Mg Magnesium",3.48,"27;28",6,"0;3;5;3","3;1;5;2;0;5;1"
1,27,True,"","","",3,"5;3","3;1;5;2;0;5;1"
1,28,True,"","","",3,"0;3","0"
1,29,True,"","","",4,"5;4","0"
1,30,False,"Ba Barium",0.60,"31;44",33,"3;1;1;3;0;28;5;1","5;0;1;3;5;2"
1,31,False,"Fe Iron",0.23,"32;41",32,"1;3;0;28;5;1","5;0;1;3;5;2"
1,32,False,"Ca Calcium",8.33,"33;38",29,"5;1;0;27;1;1","4;0;5;2;1;2"
1,33,False,"K Potassium",0.41,"34;37",27,"0;26;1;1","2;0;1;2"
1,34,False,"Mg Magnesium",3.61,"35;36",2,"0;1;1;1","2;0;1;2"
1,35,True,"","","",1,"1;1","2;0;1;2"
