tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
95,9,False,"flipper_length_mm",189.00,"10;11",12,"0;11;1;1","5;0;1;5"
95,10,True,"","","",1,"1;1","5;0;1;5"
95,11,True,"","","",11,"0;11","0"
95,12,False,"bill_depth_mm",21.10,"13;16",68,"0;1;1;67","9;0;1;9"
95,13,False,"sex",0.50,"14;15",67,"1;67","9;0;1;9"
95,14,True,"","","",33,"1;33","0"
95,15,True,"","","",34,"1;34","9;0;1;9"
95,16,True,"","","",1,"0;1","0"
96,0,False,"bill_length_mm",43.15,"1;12",328,"2;119;0;142;1;67","16;1;0;1;0;1;10;2;1;3;0;2"
96,1,False,"bill_length_mm",42.40,"2;7",148,"0;141;2;3;1;4","7;2;1;2;0;2;0;1;3"
96,2,False,"bill_length_mm",40.85,"3;4",137,"0;136;1;1","6;2;0;2;1;1;0;1;3"
96,3,True,"","","",115,"0;115","0"
96,4,False,"bill_length_mm",41.00,"5;6",22,"0;21;1;1","6;2;0;2;1;1;0;1;3"
96,5,True,"","","",1,"1;1","4;0;1;3;2;1;1"
96,6,True,"","","",21,"0;21","2;2;0;2"
96,7,False,"sex",0.50,"8;11",11,"0;5;2;3;1;3","1;2;1;1"
96,8,False,"body_mass_g",4025.00,"9;10",6,"2;3;1;3","1;2;1;1"
96,9,True,"","","",3,"1;3","1;2;1;1"
96,10,True,"","","",3,"2;3","0"
96,11,True,"","","",5,"0;5","0"
96,12,False,"bill_depth_mm",16.35,"13;14",180,"2;116;0;1;1;63","9;1;0;1;0;1;7;2;1;1"
96,13,True,"","","",107,"2;107","0"
96,14,False,"body_mass_g",4900.00,"15;18",73,"2;9;0;1;1;63","9;1;0;1;0;1;7;2;1;1"
96,15,False,"bill_depth_mm",20.75,"16;17",64,"0;1;1;63","9;1;0;1;0;1;7;2;1;1"
96,16,True,"","","",63,"1;63","8;0;1;7;2;1;1"
96,17,True,"","","",1,"0;1","1;1;0;1"
96,18,True,"","","",9,"2;9","0"
97,0,False,"body_mass_g",4562.50,"1;10",328,"1;65;2;123;0;140","16;0;1;2;2;10;1;2;2;0;1;2;0;1"
97,1,False,"bill_length_mm",42.35,"2;3",217,"1;64;2;18;0;135","14;0;2;9;1;1;1;2;2;0;1;2;0;1"
97,2,True,"","","",135,"0;135","2;1;0;1;2;0;1"
97,3,False,"bill_length_mm",46.30,"4;7",82,"1;64;2;18","12;0;2;9;1;1;1;2;2"
